Question,Answer,Contexts,Ground Truth
در قبولی برات چگونه تاریخ قبولی مشخص می‌شود؟,تاریخ قبولی برات در قانون امور حسبی - ماده 68 به این شکل مشخص می‌شود که بايد در ظرف سه روز پس از ابلاغ با رعايت مسافت قبول يا عدم قبول قيمومت را به دادستان اطلاع داد.,"['قانون امور حسبي  - ماده 68 - قيم بايد در ظرف سه روز پس از ابلاغ با رعايت مسافت قبول يا عدم قبول قيمومت را به دادستان اطلاع دهد و اگر در اين مدت قبول خود را اطلاع نداد يا قيمومت را قبول نكرد دادستان دادگاه را براي تعيين شخص ديگري بسمت قيمومت مطلع ميكند.\nو هرگاه قبل از تعيين قيم جديد شخصي كه قبلاً بقيمومت معين شده قبول قيمومت را بدادستان اطلاع دهد شخص ديگري معين نخواهد شد.\n\n', 'قانون تجارت - ماده 272(الحاقي 24ˏ12ˏ1347)- دادگاهي كه دعواي بطلان نزد آن اقامه شده است ميتواند بنا بدرخواست خوانده مهلتي كه از ششماه بيشتر نباشد براي رفع موجبات بطلان تعيين نمايد. ابتداي مهلت مذكور تاريخ وصول پرونده از دفتر بدادگاه است.در صورتيكه ظرف مهلت مقرر موجبات بطلان برطرف نشده باشد دادگاه حكم مقتضي صادر خواهد كرد.\n\n\n\n', 'قانون امور حسبي  - ماده 124 - امين بايد در ظرف سه روز پس از ابلاغ با رعايت مدت مسافت مذكور در آئين دادرسي مدني قبول يا عدم قبول سمت امانت را به دادگاه اطلاع دهد و اگر در اينمدت قبول خود را اطلاع نداد شخص ديگري معين خواهد شد مگر اينكه قبل از تعيين ديگري قبول سمت امانت را به دادگاه اطلاع دهد كه در اين صورت همان شخص به سمت امانت باقي خواهد ماند.\n\n']",‌در صورتيكه برات بوعده از رؤيت باشد تاريخ قبولي با تمام حروف نوشته خواهد شد - اگر قبولي بدون تاريخ نوشته شد تاريخ برات تاريخ رؤيت ‌حساب مي شود. (ماده 228)
فته ‌طلب چه نوع سندی است؟,فته طلب یک سند تجاری است.,"['قانون تجارت - ماده 307 – فته طلب سندي است كه بموجب آن امضاء كننده تعهد ميكند مبلغي در موعد معين يا عندالمطالبه در وجه حامل يا شخص معين و يا بحوالهكرد آن شخص كارسازي نمايد.\n\n', 'قانون مجازات اسلامي - ماده 15 ـ حد مجازاتي است كه موجب، نوع، ميزان و كيفيت اجراي آن در شرع مقدس، تعيين شده است.\n\n', 'قانون مجازات اسلامي - ماده 579 ـ كندن موي سر زن يا مرد يا ريش مرد، چنانچه با رضايت شخص يا در مواردي كه اذن شخص معتبر نيست، با رضايت ولي او باشد يا به جهت ضرورت هاي پزشكي لازم باشد، ديه يا ارش ندارد.\n\n']",سندي است كه بموجب آن امضاء كننده تعهد ميكند مبلغي در موعد معين يا عندالمطالبه در وجه حامل يا شخص معين و يا ‌بحواله‌كرد آن شخص كارسازي نمايد. (ماده 307)
تفاوت بین معاملات تجارتی که توسط تاجر انجام می‌شود و معاملاتی که برای رفع حوائج شخصی انجام می‌شوند چیست؟,تفاوت بین معاملات تجارتی که توسط تاجر انجام می‌شود و معاملاتی که برای رفع حوائج شخصی انجام می‌شوند، این است که معاملات تجارتی شامل تمامی معاملات بین تاجران، کسبه، صرافان، بانک‌ها، اجزاء یا خدمه‌های تاجر برای امور تجارتی ارباب خود و شرکت‌های تجارتی می‌شود، در حالی که معاملات برای رفع حوائج شخصی شامل معاملاتی است که تاجر یا غیر تاجر برای نیازهای شخصی خود انجام می‌دهد.,"['قانون تجارت - ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n', 'قانون تجارت - ماده 475 - حكم فوق درباره دعوي خياراتي نيز مجري خواهد بود كه تاجر ورشكسته نسبت باموال متصرفي خود يا ديگران دارد مشروط براينكه بر ضرر طلبكارها نباشد.\n\nفصل هفتم - در قرارداد ارفاقي و تصفيه حساب تاجر ورشكسته\n\nمبحث اول - در دعوت طلبكارها و مجمع عمومي آنها\n\n', 'قانون تجارت - ماده 342 - هر گاه معامله بتوسط دلال واقع و نوشتجات و اسنادي راجع به آن معامله بين طرفين بتوسط او رد و بدل شود در صورتيكه امضاها راجع باشخاصي باشد كه بتوسط او معامله را كردهاند دلال ضامن صحت و اعتبار امضاهاي نوشتجات و اسناد مزبور است.\n\n']",معاملات تجارتی شامل خرید، فروش، دلالی و سایر فعالیت‌های تجاری است که به منظور کسب سود انجام می‌شوند، در حالی که معاملات برای رفع حوائج شخصی شامل فعالیت‌هایی نیست که به منظور کسب سود تجاری انجام می‌شوند. (ماده 2 و ماده 3)
چگونه دفتر روزنامه و دفتر کل باید نگهداری شوند و چه اطلاعاتی باید در آنها ثبت شود؟,دفتر روزنامه و دفتر کل باید به صورت پاک نویس یا تایپ شده نگهداری شوند. اطلاعاتی که باید در آنها ثبت شود عبارتند از: شماره پرونده، شماره و تاریخ دادنامه و تاریخ صدور رأی، مشخصات دادگاه و قاضی یا قضات صادرکننده رأی و سمت آنها، مشخصات طرفین دعوی و وکلای آنان، گردش کار و متن کامل رأی.,"['قانون آيين دادرسي كيفري - ماده 380- دادنامه به طرفين يا وكيل آنان و دادستان ابلاغ مي شود و در صورتي كه رأي دادگاه حضوري به طرفين ابلاغ شود، دادن نسخه اي از رأي يا تصوير مصدق آن به طرفين الزامي است. در اين صورت، ابلاغ مجدد ضرورت ندارد.\n\nتبصره 1- مدير دفتر دادگاه مكلف است حداكثر ظرف سه روز پس از امضاي دادنامه، آن را براي ابلاغ ارسال نمايد.\n\nتبصره 2- در جرائم منافي عفت، چنانچه دادنامه حاوي مطالبي باشد كه اطلاع شاكي از آن حرام است و همچنين در جرائم عليه امنيت داخلي و خارجي كشور، ابلاغ دادنامه حضوري بوده و ذي نفع مي تواند از مفاد كامل رأي اطلاع يافته و از آن استنساخ نمايد.\n\n', 'قانون آيين دادرسي كيفري - ماده 161- جز در موارد فوري، پس از پرداخت دستمزد، به كارشناس اخطار مي شود كه ظرف مهلت تعيين شده در قرار كارشناسي، نظر خود را تقديم كند. مراتب وصول نظر كارشناس به طرفين ابلاغ مي شود. طرفين مي توانند ظرف يك هفته از تاريخ ابلاغ، جهت ملاحظه نظر كارشناس به دفتر بازپرسي مراجعه و نظر خود را به طور كتبي اعلام كنند.\n\n', 'قانون آيين دادرسي كيفري - ماده 378- رأي دادگاه بايد حداكثر ظرف سه روز از تاريخ انشاء، پاك نويس يا تايپ شود. اين رأي كه «دادنامه» خوانده مي شود با نام خداوند متعال شروع و موارد زير در آن درج مي شود و به امضاي دادرس يا دادرسان مي رسد و به مهر شعبه ممهور مي شود:\nالف- شماره پرونده، شماره و تاريخ دادنامه و تاريخ صدور رأي\nب - مشخصات دادگاه و قاضي يا قضات صادركننده رأي و سمت ايشان\nپ - مشخصات طرفين دعوي و وكلاي آنان\nت – گردش كار و متن كامل رأي\n\n']",دفتر روزنامه باید روزانه تمام مطالبات، دیون، و داد و ستد تجارتی ثبت شود، در حالی که دفتر کل باید حداقل هفته‌ای یک بار کلیه معاملات را از دفتر روزنامه استخراج و ثبت کند. (ماده 7 و ماده 8)
نقش دفتر دارایی و دفتر کپیه در نگهداری سوابق تجاری چیست؟,"دفتر دارایی نقش اصلی در نگهداری سوابق مالی تجاری دارد، زیرا تاجر باید در آن صورت جامعی از کل دارایی‌های منقول و غیر منقول، دیون و مطالبات سال گذشته خود را ثبت و امضاء کند. این کار باید هر سال تا تاریخ مشخصی انجام شود.

دفتر کپیه هم نقش مهمی در نگهداری سوابق تجاری دارد، زیرا تاجر باید در آن کلیه مراسلات، مخابرات و صورت‌حساب‌های صادره و وارده خود را بترتیب تاریخ ثبت کند. این کار به منظور داشتن ثبت دقیق و مرتب اطلاعات تجاری و مالی است.","['قانون تجارت - ماده 9 - دفتر دارائي دفتري است كه تاجر بايد هر سال صورت جامعي از كليه دارائي منقول و غير منقول و ديون و مطالبات سال گذشته خود را بريز ترتيب داده در آن دفتر ثبت و امضاء نمايد و اين كار بايد تا پانزدهم فروردين سال بعد انجام پذيرد.\n\n', 'قانون تجارت - ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n', 'قانون تجارت - ماده 8 - دفتر كل دفتري است كه تاجر بايد كليه معاملات را لااقل هفته يكمرتبه از دفتر روزنامه استخراج و انواع مختلفه آن را تشخيص و جدا كرده هر نوعي را در صفحه مخصوصي در آن دفتر بطور خلاصه ثبت كند.\n\n']",دفتر دارایی صورت جامعی از دارایی‌ها و دیون سالانه را ارائه می‌دهد، در حالی که دفتر کپیه برای ثبت تمام مراسلات و مخابرات تجاری استفاده می‌شود. (ماده 9 و ماده 10)
اهمیت ثبت دفاتر تجاری پیش از استفاده چیست و چه کسانی باید این کار را انجام دهند؟,ثبت دفاتر تجاری پیش از استفاده اهمیت بسیاری دارد زیرا این کار باعث می‌شود تاجر بتواند معاملات خود را به صورت منظم و دقیق ثبت کند و از اطلاعات مربوط به معاملات خود بهره‌مند شود. این کار برای تمامی تاجران الزامی است و باید هفته‌ای یکبار از دفتر روزنامه استخراج کرده و معاملات خود را در دفتر ثبت کنند. همچنین، در صورت عدم تصریح اسناد و صورت‌حساب‌ها، تاجر ممکن است مجازات‌های مختلفی از جمله جریمه نقدی دریافت کند.,"['قانون تجارت - ماده 8 - دفتر كل دفتري است كه تاجر بايد كليه معاملات را لااقل هفته يكمرتبه از دفتر روزنامه استخراج و انواع مختلفه آن را تشخيص و جدا كرده هر نوعي را در صفحه مخصوصي در آن دفتر بطور خلاصه ثبت كند.\n\n', 'قانون تجارت - ماده 205 - در هر مورد كه اشخاصي غير از مديران شركت براي تصفيه معين شوند اسامي آنها بايد در اداره ثبت اسناد ثبت و اعلان گردد.\n\n', 'قانون تجارت - ماده 18 - شش ماه پس از الزامي شدن ثبت تجارتي هر تاجري كه مكلف بثبت است بايد در كليه اسناد و صورت حسابها و نشريات خطي يا چاپي خود در ايران تصريح نمايد كه در تحت چه نمره بثبت رسيده و الا علاوه بر مجازات مقرر در فوق بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم مي شود.\n\n']",ثبت دفاتر تجاری پیش از استفاده برای احراز صحت و دقت آنها ضروری است و باید توسط نماینده اداره ثبت انجام شود. (ماده 11 و ماده 12)
چه محدودیت‌هایی برای نوشتن در دفاتر تجاری وجود دارد و تخلف از این محدودیت‌ها چه پیامدهایی دارد؟,محدودیت‌هایی که برای نوشتن در دفاتر تجاری وجود دارد شامل اطلاع رسانی به آمرین در صورت دلالت برای چند آمر در یک زمان و مطلع کردن آنها از اموری که ممکن است تغییر رأی آنها را ایجاد کند می‌شود. تخلف از این محدودیت‌ها می‌تواند منجر به مشکلات حقوقی شود، از جمله اقامه دعوی علیه شخص دلال یا مسئول شرکت و همچنین ممکن است منجر به تصفیه شرکت و پرداخت مبالغ معادل آنچه از بابت سهم شرکت باقی مانده است شود.,"['قانون تجارت - ماده 341 - دلال ميتواند در زمان واحد براي چند آمر در يك رشته يا رشتههاي مختلف دلالي كند ولي در اينصورت بايد آمرين را از اين ترتيب وامور ديگري كه ممكن است موجب تغيير رأي آنها شود مطلع نمايد.\n\n', 'قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 310 - چك نوشته ايست كه بموجب آن صادركننده وجوهي را كه در نزد محالعليه دارد كلاً يا بعضاً مسترد يا بديگري واگذار مينمايد.\n\n']",محدودیت‌هایی مانند ممنوعیت تراشیدن، حک‌کردن، و جای سفید گذاشتن بیش از حد معمول وجود دارد. تخلف از این محدودیت‌ها می‌تواند منجر به جرایم نقدی شود. (ماده 13 و ماده 15)
شرایط ثبت نام تجار در دفتر ثبت تجارتی چیست و چه کسانی مشمول این شرط می‌شوند؟,شرایط ثبت نام تجار در دفتر ثبت تجارتی شامل این است که کلیه اشخاصی که در نقاط مشخص بشغل تجارت اشتغال دارند، باید در مدت مقرر اسم خود را در دفتر ثبت تجارتی به ثبت برسانند. این شرط مشمول اعماز ایرانی و خارجی می‌شود، با استثنای کسبه جزء.,"['قانون تجارت - ماده 16 - در نقاطي كه وزارت عدليه مقتضي دانسته و دفتر ثبت تجارتي تأسيس كند كليه اشخاصي كه در آن نقاط بشغل تجارت اشتغال دارند اعماز ايراني و خارجي باستثناي كسبه جزء بايد در مدت مقرر اسم خود را در دفتر ثبت تجارتي به ثبت برسانند و الا بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم خواهند شد. \n\n', 'قانون تجارت - ماده 205 - در هر مورد كه اشخاصي غير از مديران شركت براي تصفيه معين شوند اسامي آنها بايد در اداره ثبت اسناد ثبت و اعلان گردد.\n\n', 'قانون تجارت - ماده 8 - دفتر كل دفتري است كه تاجر بايد كليه معاملات را لااقل هفته يكمرتبه از دفتر روزنامه استخراج و انواع مختلفه آن را تشخيص و جدا كرده هر نوعي را در صفحه مخصوصي در آن دفتر بطور خلاصه ثبت كند.\n\n']",تمامی اشخاصی که به شغل تجارت اشتغال دارند باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند، این شامل اشخاص ایرانی و خارجی می‌شود. (ماده 16 و ماده 17)
چه اطلاعاتی باید توسط تاجر در اسناد تجاری خود ذکر شود و چه مقرراتی برای شناسایی کسبه جزء وجود دارد؟,تاجر باید در اسناد تجاری خود تصریح کند که در تحت چه نمره بثبت رسیده است. مقررات برای شناسایی کسبه شامل ضرورت ثبت تجارتی شش ماه پس از الزامی شدن ثبت تجارتی، دفتر کپیه برای ثبت مراسلات و صورتحسابها، و مقررات ورشکستگی در صورت ورشکستگی تاجر می‌باشد.,"['قانون تجارت - ماده 18 - شش ماه پس از الزامي شدن ثبت تجارتي هر تاجري كه مكلف بثبت است بايد در كليه اسناد و صورت حسابها و نشريات خطي يا چاپي خود در ايران تصريح نمايد كه در تحت چه نمره بثبت رسيده و الا علاوه بر مجازات مقرر در فوق بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم مي شود.\n\n', 'قانون تجارت - ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n', 'قانون تجارت - ماده 503 - هر گاه تاجري ورشكست و امرش منتهي بقرارداد ارفاقي گرديد و ثانياً بدون اينكه قرارداد مزبور ابطال يا فسخ شود ورشكست شد مقررات دو ماده قبل در ورشكستگي ثانوي لازمالاجرا است.\n\nمبحث سوم - در تفريغ حساب و ختم عمل ورشكستگي\n\n']",تاجر باید در اسناد خود تصریح کند که تحت چه نمره‌ای به ثبت رسیده است. شناسایی کسبه جزء مطابق مقررات نظامنامه وزارت عدلیه انجام می‌گیرد. (ماده 18 و ماده 19)
انواع شرکت‌های تجارتی و تعریف آنها چگونه است؟,انواع شرکت‌های تجارتی شامل شرکت‌های سهامی، شرکت‌های با مسئولیت محدود، شرکت‌های تعاونی و شرکت‌های مختلط (سهامی و غیر سهامی) می‌باشند.,"['قانون تجارت - ماده 213 - در شركتهاي سهامي و شركتهاي با مسئوليت محدود و شركتهاي تعاوني امر تصفيه بعهده مديران شركت است مگر آنكه اساسنامه يا اكثريت مجمع عمومي شركت ترتيب ديگري مقرر داشته باشد.\n\n', 'قانون تجارت - ماده 206 - در شركتهاي مختلط (سهامي و غير سهامي) شركاءِ غير ضامن حق دارند يك يا چند نفر براي نظارت در امر تصفيه معين نمايند.\n\n', 'قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n']",انواع شرکت‌های تجارتی شامل شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف می‌شوند. (ماده 20 و ماده 21)
تفاوت بین شرکت‌های سهامی عام و خاص چیست و چه شرایطی برای تأسیس آنها وجود دارد؟,"تفاوت اصلی بین شرکت‌های سهامی عام و خاص در منشأ سرمایه آنها است. در شرکت‌های سهامی عام، سرمایه شرکت از طریق فروش سهام به عموم مردم تأمین می‌شود، در حالی که در شرکت‌های سهامی خاص، تمام سرمایه آنها توسط موسسین تأمین می‌شود.

برای تبدیل یک شرکت سهامی خاص به شرکت سهامی عام، باید شرایط زیر را رعایت کرد: 
1. تصویب مجمع عمومی فوق العاده شرکت سهامی خاص برای تبدیل به شرکت سهامی عام.
2. حداقل سرمایه شرکت باید مطابق با مقررات شرکت‌های سهامی عام باشد یا باید سرمایه شرکت افزایش یابد تا به این مقدار برسد.
3. دو سال از تاریخ تأسیس و ثبت شرکت گذشته باشد و دو ترازنامه شرکت توسط مجمع عمومی صاحبان سهام تصویب شده باشد.
4. اساسنامه شرکت باید با رعایت مقررات قانون تجارت در مورد شرکت‌های سهامی عام تنظیم یا اصلاح شده باشد.","['قانون تجارت - ماده 4(الحاقي 24ˏ12ˏ1347)- شركت سهامي بدو نوع تقسيم ميشود:\nنوع اول - شركتهائي كه مؤسسين آنها قسمتي از سرمايه شركت را از طريق فروش سهام بمردم تأمين ميكنند. اينگونه شركتها شركت سهامي عام ناميده ميشوند.\nنوع دوم - شركتهائي كه تمام سرمايه آنها در موقع تأسيس منحصراً توسط مؤسسين تأمين گرديده است. اينگونه شركتها شركت سهامي خاص ناميده ميشوند.\n\nتبصره (الحاقي 24ˏ12ˏ1347)- در شركتهاي سهامي عام عبارت شركت سهامي عام و در شركتهاي سهامي خاص عبارت  شركت سهامي خاص بايد قبل از نامشركت يا بعد از آن بدون فاصله با نام شركت در كليه اوراق و اطلاعيهها و آگهيها[آگهيهاي] شركت بطور روشن و خوانا قيد شود.\n\n\n', 'قانون تجارت - ماده 278(الحاقي 24ˏ12ˏ1347)- شركت سهامي خاص در صورتي ميتواند بشركت سهامي عام تبديل شود كه اولاً موضوع بتصويب مجمع عمومي فوقالعادهشركت سهامي خاص رسيده باشد ثانياً سرمايه آن حداقل بميزاني باشد كه براي شركتهاي سهامي عام مقرر شده است و يا شركت سرمايه خود را بميزان مذكور افزايش دهد. ثالثاً دو سال تمام از تاريخ تأسيس و ثبت شركت گذشته و دو ترازنامه آن بتصويب مجمع عمومي صاحبان سهام رسيدهباشد. رابعاً اساسنامه آن با رعايت مقررات اين قانون در مورد شركتهاي سهامي عام تنظيم يا اصلاح شده باشد.\n\n\n\n', 'قانون تجارت - ماده 42(الحاقي 24ˏ12ˏ1347)- هر شركت سهامي ميتواند بموجب اساسنامه و همچنين تا موقعي كه شركت منحل نشده است طبق تصويب مجمع عمومي فوقالعاده صاحبان سهام سهام ممتاز ترتيب دهد. امتيازات اينگونه سهام و نحوه استفاده از آن بايد بطور وضوح تعيين گردد. هر گونه تغيير درامتيازات وابسته بسهام ممتاز بايد به تصويب مجمع عمومي فوقالعاده شركت با جلب موافقت دارندگان نصف بعلاوه يك اينگونه سهام انجام گيرد.\n\nبخش 3(الحاقي 24ˏ12ˏ1347)\nتبديل سهام\n\n']",شرکت‌های سهامی عام به عموم مردم اجازه می‌دهند تا در آن سهام داشته باشند، در حالی که شرکت‌های سهامی خاص تنها با تعداد محدودی از سهامداران کار می‌کنند. شرایط تأسیس شامل ثبت رسمی و رعایت مقررات خاص است. (ماده 20 و ماده 22)
چگونه می‌توان شرکتی را به ثبت رساند و چه مدارکی لازم است؟,برای ثبت یک شرکت، ابتدا باید اظهارنامه مربوط به شرکت تهیه و تسلیم شود. اگر تا شش ماه از تاریخ تسلیم اظهارنامه به ثبت نرسیده باشد، می‌توان با درخواست مرجع ثبت شرکتها، گواهی عدم ثبت شرکت دریافت کرد. سپس باید آخرین ترازنامه و حساب سود و زیان شرکت را به ضمیمه طرح اعلامیه پذیره‌نویسی سهام جدید تسلیم کرد. در صورت عدم تهیه ترازنامه و حساب سود و زیان، این موضوع باید در طرح اعلامیه پذیره‌نویسی ذکر شود.,"['قانون تجارت - ماده 201(الحاقي 24ˏ12ˏ1347)- در موارد زير هر ذينفع ميتواند انحلال شركت را از دادگاه بخواهد\n1 - در صورتيكه تا يكسال پس از به ثبت رسيدن شركت هيچ اقدامي جهت انجام موضوع آن صورت نگرفته باشد و نيز در صورتيكه فعاليتهاي شركت در مدت بيش از يكسال متوقف شده باشد.\n2 - در صورتيكه مجمع عمومي سالانه براي رسيدگي بحسابهاي هر يك از سالهاي مالي تا ده ماه از تاريخي كه اساسنامه معين كرده استتشكيل نشده باشد.\n3 - در صورتيكه سمت تمام يا بعضي از اعضاي هيئت مديره و همچنين سمت مدير عامل شركت طي مدتي زائد بر ششماه بلامتصدي ماندهباشد.\n4 - در مورد بندهاي يك و دو ماده 199 در صورتيكه مجمع عمومي فوقالعاده صاحبان سهام جهت اعلام انحلال شركت تشكيل نشود و يا راي بانحلال شركت ندهد.\n\n', 'قانون تجارت - ماده 19(الحاقي 24ˏ12ˏ1347)- در صورتيكه شركت تا ششماه از تاريخ تسليم اظهارنامه مذكور در ماده 6 اين قانون به ثبت نرسيده باشد به درخواست هر يك ازمؤسسين يا پذيرهنويسان مرجع ثبت شركتها كه اظهارنامه به آن تسليم شده است گواهينامهاي حاكي از عدم ثبت شركت صادر و ببانكي كه تعهد سهام و تأديه وجوه در آن بعمل آمده است ارسال ميدارد تا مؤسسين و پذيرهنويسان ببانك مراجعه و تعهدنامه و وجوه پرداختي خود را مسترد دارند. در اين صورت هر گونه هزينهاي كه براي تأسيس شركت پرداخت يا تعهد شده باشد بعهده مؤسسين خواهد بود.\n\n', 'قانون تجارت - ماده 175(الحاقي 24ˏ12ˏ1347)- آخرين ترازنامه و حساب سود و زيان شركت كه بتصويب مجمع عمومي رسيده است بايد به ضميمه طرح اعلاميه پذيرهنويسي سهامجديد بمرجع ثبت شركتها تسليم گردد و در صورتيكه شركت تا آنموقع ترازنامه و حساب سود و زيان تنظيم نكرده باشد اين نكته بايد در طرحاعلاميه پذيرهنويسي قيد شود.\n\n']",برای ثبت یک شرکت، لازم است که اسناد و مدارک مربوط به تأسیس شرکت ارائه و مطابق با مقررات ثبت شوند. (ماده 22 و ماده 23)
تفاوت اصلی بین شرکت با مسئولیت محدود و شرکت تضامنی چیست؟,تفاوت اصلی بین شرکت با مسئولیت محدود و شرکت تضامنی این است که در شرکت با مسئولیت محدود، شرکا فقط تا میزان سرمایه‌ای که در شرکت گذاشته‌اند یا باید بگذارند مسئولیت دارند، اما در شرکت تضامنی، همه شرکا به طور مشترک و همگانی مسئولیت نامحدودی نسبت به تعهدات شرکت دارند.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 154 - بشريك با مسئوليت محدود فرع نميتوان داد مگر در صورتي كه موجب كسر سرمايه او در شركت نشود.\nاگر در نتيجه ضررهاي وارده سهم الشركه شريك با مسئوليت محدود كسر شد مادام كه اين كمبود جبران نشده تأديه هر ربح يا منفعتي باو ممنوع است.\nهر گاه وجهي برخلاف حكم فوق تأديه گرديد شريك با مسئوليت محدود تا معادل وجه دريافتي مسئول تعهدات شركت است مگر در مورديكه با حسن نيت و باعتبار بيلان مرتبي وجهي گرفته باشد.\n\n', 'قانون تجارت - ماده 141 - شركت مختلط غيرسهامي شركتي است كه براي امور تجارتي در تحت اسم مخصوصي بين يك يا چند نفر شريك ضامن و يك يا چند نفر شريك با مسئوليت محدود بدون انتشار سهام تشكيل مي شود.\nشريك ضامن مسئول كليه قروضي است كه ممكن است علاوه بر دارائي شركت پيدا شود - شريك با مسئوليت محدود كسي است كه مسئوليت اوفقط تا ميزان سرماية است كه در شركت گذارده و يا بايستي بگذارد.\nدر اسم شركت بايد عبارت (شركت مختلط) و لااقل اسم يكي از شركاءِ ضامن قيد شود.\n\n']",در شرکت با مسئولیت محدود، شرکاء تنها تا میزان سرمایه‌ای که در شرکت گذاشته‌اند مسئول هستند، در حالی که در شرکت تضامنی، هر یک از شرکاء مسئول پرداخت تمام قروض شرکت است. (مواد 94 و 116)
چه مدارکی برای تشکیل شرکت با مسئولیت محدود نیاز است؟,برای تشکیل شرکت با مسئولیت محدود، نیاز به داشتن هیئت نظارت و تشکیل مجمع عمومی شرکا است.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 94 - شركت با مسئوليت محدود شركتي است كه بين دو يا چند نفر براي امور تجارتي تشكيل شده و هر يك از شركاء بدون اينكه سرمايه بسهام يا قطعات سهام تقسيم شده باشد - فقط تا ميزان سرمايه خود در شركت مسئول قروض و تعهدات شركت است.\n\n', 'قانون تجارت - ماده 109 - هر شركت با مسئوليت محدود كه عده شركاءِ آن بيش از دوازده نفر باشد بايد داراي هيئت نظار بوده و هيئت مزبور لااقل سالي يكمرتبه مجمع عمومي شركاء را تشكيل دهد.\nهيئت نظار بايد بلافاصله بعد از انتخاب شدن تحقيق كرده و اطمينان حاصل كند كه دستور مواد 96 و 97 رعايت شده است.\nهيئت نظار ميتواند شركاء را براي انعقاد مجمع عمومي فوقالعاده دعوت نمايد مقررات مواد 165 - 167 - 168 و 170 در مورد شركتهاي با مسئوليت محدود نيز رعايت خواهد شد.\n\n']",برای تشکیل شرکت با مسئولیت محدود نیاز است که تمام سرمایه نقدی پرداخت شده و سهم‌الشرکه‌های غیر نقدی تقویم و تسلیم شود. (مواد 96 و 97)
